,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
74,2023-09-27,243.1510625874933,226.58918358384662,266.8009811501185,243.1510625874933,243.1510625874933,3.9585678494646097,3.9585678494646097,3.9585678494646097,3.9585678494646097,3.9585678494646097,3.9585678494646097,0.0,0.0,0.0,247.1096304369579
75,2023-09-28,242.9512247273711,225.15515300759535,265.1025536799723,242.9512247273711,242.9512247273711,2.5159454649734565,2.5159454649734565,2.5159454649734565,2.5159454649734565,2.5159454649734565,2.5159454649734565,0.0,0.0,0.0,245.46717019234458
76,2023-09-29,242.7513868672489,222.6231106424579,263.930826284608,242.7513868672489,242.7513868672489,1.8219639987961738,1.8219639987961738,1.8219639987961738,1.8219639987961738,1.8219639987961738,1.8219639987961738,0.0,0.0,0.0,244.57335086604508
77,2023-10-02,242.1518732868823,224.5809135857741,262.58036633543804,242.1518732868823,242.1518732868823,2.075705237804643,2.075705237804643,2.075705237804643,2.075705237804643,2.075705237804643,2.075705237804643,0.0,0.0,0.0,244.22757852468695
78,2023-10-03,241.9520354267601,228.20908785345202,267.169015870967,241.9520354267601,241.9520354267601,4.548430922938603,4.548430922938603,4.548430922938603,4.548430922938603,4.548430922938603,4.548430922938603,0.0,0.0,0.0,246.50046634969868
79,2023-10-04,241.7521975666379,227.67399730063647,266.2831623044019,241.7521975666379,241.7521975666379,3.95856784946246,3.95856784946246,3.95856784946246,3.95856784946246,3.95856784946246,3.95856784946246,0.0,0.0,0.0,245.71076541610037
80,2023-10-05,241.5523597065157,225.27025144166822,264.80999345449226,241.5523597065157,241.5523597065157,2.515945464974541,2.515945464974541,2.515945464974541,2.515945464974541,2.515945464974541,2.515945464974541,0.0,0.0,0.0,244.06830517149024
81,2023-10-06,241.3525218398028,222.44381238835743,263.3682060111728,241.3525218398028,241.3525218398028,1.82196399879484,1.82196399879484,1.82196399879484,1.82196399879484,1.82196399879484,1.82196399879484,0.0,0.0,0.0,243.17448583859763
82,2023-10-09,240.75300823966407,223.43316977030204,263.7059437897924,240.75300823966407,240.75300823966407,2.075705237777802,2.075705237777802,2.075705237777802,2.075705237777802,2.075705237777802,2.075705237777802,0.0,0.0,0.0,242.82871347744188
83,2023-10-10,240.5531703729512,226.37613573185868,264.36599895364816,240.5531703729512,240.5531703729512,4.548430922932521,4.548430922932521,4.548430922932521,4.548430922932521,4.548430922932521,4.548430922932521,0.0,0.0,0.0,245.1016012958837
84,2023-10-11,240.35333250623827,225.28660704915416,264.68461729227823,240.35333250623827,240.35333250623827,3.9585678494631518,3.9585678494631518,3.9585678494631518,3.9585678494631518,3.9585678494631518,3.9585678494631518,0.0,0.0,0.0,244.31190035570143
85,2023-10-12,240.15349463952538,223.37268257479266,262.1049239787902,240.15349463952538,240.15349463952538,2.5159454649738886,2.5159454649738886,2.5159454649738886,2.5159454649738886,2.5159454649738886,2.5159454649738886,0.0,0.0,0.0,242.66944010449927
86,2023-10-13,239.95365677281245,222.85643037260664,261.90881626662053,239.95365677281245,239.95365677281245,1.8219639988156515,1.8219639988156515,1.8219639988156515,1.8219639988156515,1.8219639988156515,1.8219639988156515,0.0,0.0,0.0,241.7756207716281
87,2023-10-16,239.35414317267376,221.2399267634807,260.1700995053735,239.35414317267376,239.35414317267376,2.075705237785516,2.075705237785516,2.075705237785516,2.075705237785516,2.075705237785516,2.075705237785516,0.0,0.0,0.0,241.42984841045927
88,2023-10-17,239.15430530596086,225.21444668547332,261.9953141535455,239.15430530596086,239.15430530596086,4.548430922935032,4.548430922935032,4.548430922935032,4.548430922935032,4.548430922935032,4.548430922935032,0.0,0.0,0.0,243.7027362288959
89,2023-10-18,238.95446744392416,223.16083059218641,264.6957773203907,238.95446744392416,238.95446744392416,3.9585678494610006,3.9585678494610006,3.9585678494610006,3.9585678494610006,3.9585678494610006,3.9585678494610006,0.0,0.0,0.0,242.91303529338515
90,2023-10-19,238.75462958188743,221.85789173139162,261.81125106963543,238.75462958188743,238.75462958188743,2.5159454649729147,2.5159454649729147,2.5159454649729147,2.5159454649729147,2.5159454649729147,2.5159454649729147,0.0,0.0,0.0,241.27057504686033
91,2023-10-20,238.55479171985073,219.80593622752386,260.51611766807434,238.55479171985073,238.55479171985073,1.821963998814319,1.821963998814319,1.821963998814319,1.821963998814319,1.821963998814319,1.821963998814319,0.0,0.0,0.0,240.37675571866504
92,2023-10-23,237.95527813374056,221.188296424314,260.0377521343971,237.95527813374056,237.95527813374056,2.0757052377932284,2.0757052377932284,2.0757052377932284,2.0757052377932284,2.0757052377932284,2.0757052377932284,0.0,0.0,0.0,240.03098337153378
93,2023-10-24,237.75544027170386,223.14441294775733,261.1041654611538,237.75544027170386,237.75544027170386,4.5484309229376905,4.5484309229376905,4.5484309229376905,4.5484309229376905,4.5484309229376905,4.5484309229376905,0.0,0.0,0.0,242.30387119464154
94,2023-10-25,237.55560240966713,222.99235380818496,261.63999188149774,237.55560240966713,237.55560240966713,3.95856784945885,3.95856784945885,3.95856784945885,3.95856784945885,3.95856784945885,3.95856784945885,0.0,0.0,0.0,241.514170259126
95,2023-10-26,237.35576454763043,220.567067761198,259.62319021415647,237.35576454763043,237.35576454763043,2.515945464972263,2.515945464972263,2.515945464972263,2.515945464972263,2.515945464972263,2.515945464972263,0.0,0.0,0.0,239.8717100126027
96,2023-10-27,237.1559266855937,219.10095069788298,257.6886209162765,237.1559266855937,237.1559266855937,1.8219639988084362,1.8219639988084362,1.8219639988084362,1.8219639988084362,1.8219639988084362,1.8219639988084362,0.0,0.0,0.0,238.97789068440213
97,2023-10-30,236.55641310119907,218.44238988091033,257.53236297770314,236.55641310119907,236.55641310119907,2.0757052378009413,2.0757052378009413,2.0757052378009413,2.0757052378009413,2.0757052378009413,2.0757052378009413,0.0,0.0,0.0,238.63211833900002
98,2023-10-31,236.3565752397342,221.0080527376317,261.1368581672715,236.3565752397342,236.3565752397342,4.548430922940202,4.548430922940202,4.548430922940202,4.548430922940202,4.548430922940202,4.548430922940202,0.0,0.0,0.0,240.90500616267443
99,2023-11-01,236.15673737826933,221.45316989922676,258.79305196059374,236.15673737826933,236.15673737826933,3.958567849459542,3.958567849459542,3.958567849459542,3.958567849459542,3.958567849459542,3.958567849459542,0.0,0.0,0.0,240.11530522772887
100,2023-11-02,235.95689951680444,219.19056337017633,258.6289693963087,235.95689951680444,235.95689951680444,2.5159454649750828,2.5159454649750828,2.5159454649750828,2.5159454649750828,2.5159454649750828,2.5159454649750828,0.0,0.0,0.0,238.47284498177953
101,2023-11-03,235.75706165533956,218.39347090547156,257.4183302030028,235.75706165533956,235.75706165533956,1.8219639988025536,1.8219639988025536,1.8219639988025536,1.8219639988025536,1.8219639988025536,1.8219639988025536,0.0,0.0,0.0,237.5790256541421
102,2023-11-06,235.15754807094493,216.71224796117764,255.72003012331248,235.15754807094493,235.15754807094493,2.0757052378023335,2.0757052378023335,2.0757052378023335,2.0757052378023335,2.0757052378023335,2.0757052378023335,0.0,0.0,0.0,237.23325330874727
103,2023-11-07,234.95771020948007,220.73777325901878,259.30269287795124,234.95771020948007,234.95771020948007,4.548430922938417,4.548430922938417,4.548430922938417,4.548430922938417,4.548430922938417,4.548430922938417,0.0,0.0,0.0,239.5061411324185
104,2023-11-08,234.75787235670427,217.73657257315625,258.0536417487595,234.75787235670427,234.75787235670427,3.9585678494573906,3.9585678494573906,3.9585678494573906,3.9585678494573906,3.9585678494573906,3.9585678494573906,0.0,0.0,0.0,238.71644020616165
105,2023-11-09,234.55803450392847,216.68010714383652,258.3506959807149,234.55803450392847,234.55803450392847,2.5159454649706365,2.5159454649706365,2.5159454649706365,2.5159454649706365,2.5159454649706365,2.5159454649706365,0.0,0.0,0.0,237.0739799688991
